time,elev_mean,elev_max,elev_std,cumed_mean,cumed_max,cumed_min,cumed_std,perc_exposed
-501,97.13933982377708,418.6201041179985,29.689057186743877,0.8898480689672212,312.89188096170403,-43.552043851629605,5.444261814369559,0.9746107538475361
-500,96.79310262611982,418.20904549941724,29.625309920628872,0.8927278135474243,313.67487781463035,-43.575520360975744,5.458589300578107,0.9741871718844263
-499,96.14970174875643,417.49198794297,29.54855497511046,0.8956101335052747,314.8607901071698,-43.59863093912842,5.472950855512481,0.973673739201869
-498,95.87875991023814,417.1819314486038,29.523132777804683,0.8984859475465722,315.95409377006166,-43.62505199438183,5.485899172123426,0.9735068735800377
-497,96.25065512846838,417.5658760162657,29.572348900687054,0.9011073063871883,317.1240994181945,-43.64724941398771,5.503244978868859,0.973853440640764
-496,96.28333827447685,417.5868216459028,29.58642683949938,0.9031600832795348,318.22135380349414,-43.67373830160923,5.5170430833116075,0.9739561271772754
-495,95.94936083037028,417.1997683374623,29.540365992996918,0.9060059795528639,319.3917282171249,-43.69627045965179,5.532372484848094,0.973648067567741
-494,94.47484888978296,415.5707160908912,29.34630683626172,0.9087767481465912,320.54897180989343,-43.72231651620635,5.547244173876677,0.9723003067760279
-493,90.75069680142403,411.42366490613665,28.77063825955185,0.91161559310028,322.00971833609543,-43.743075237039065,5.562317515520324,0.968102994596121
-492,87.80207438436226,408.18578471976394,28.396479649077808,0.9150830700439775,323.03983013940456,-43.762409370792575,5.576020610589357,0.9652277715737996
-491,86.16671536187063,406.3820702802824,28.19546257570716,0.9189682058583835,324.01764156423513,-43.77672818703776,5.588303604628082,0.9636232944408076
-490,85.18880549019399,405.30644819015185,28.09270748866053,0.9227871782838333,325.0030770235554,-43.78947780317356,5.600114845974663,0.9627889663316519
-489,84.78861578222926,404.84888118712377,28.04507488869161,0.9265670168136942,326.3622258945369,-43.80173319720856,5.6112450443151705,0.9624038918197337
-488,84.78802368520965,404.8283376405411,28.04782271038846,0.9300932925233752,327.42999976165504,-43.8131538620623,5.623075590472772,0.9624423992709256
-487,84.85176892724088,404.8777951846118,28.058239314070672,0.9337705275280201,328.4435478547246,-43.82487366133983,5.635224860747898,0.962545085807437
-486,84.92505373448707,404.9452502368684,28.079631533023008,0.9373801863807236,329.5904871512683,-43.836327478562524,5.648118459259708,0.962737623063396
-485,85.85000261783695,405.9487018762645,28.214470342899354,0.9405815942780019,330.7632325710491,-43.848202217274206,5.660636054914739,0.9638800107820863
-484,87.67613515616706,407.93610220103716,28.46412900880797,0.9431378764090431,332.2919733988121,-43.860596447136174,5.674095163879344,0.965920905695252
-483,90.21754182608805,410.70440085559676,28.809706457185438,0.9453959711189673,333.1149978983457,-43.87472477590312,5.689128279852138,0.9686292630957424
-482,93.4965646450502,414.3365578761683,29.342328635247657,0.9472634825702526,336.98398791770745,-43.89330089449461,5.705076788683755,0.9725955305684983
-481,96.79993060016052,417.8815578864338,29.723590580134836,0.9498915409525402,336.9954415269598,-43.91300232531025,5.7201397628485156,0.9753038879689887
-480,101.38601864755859,422.8156627623548,30.276100601639694,0.9514972907163963,336.9942205105082,-43.93793400357095,5.730965726932911,0.9789492600151463
-479,106.62549337834896,428.39366487530503,30.833319180973106,0.9527766658808524,336.99339533695013,-43.96298145708069,5.74418596498707,0.9823507515370891
-478,112.41061678124126,434.37566804211235,31.18595731480501,0.9538851545688293,336.9924776938436,-43.98803227555544,5.7556967467863505,0.9843146315478711
-477,118.4652678118412,440.64367226272554,31.58498409102134,0.954852467973692,336.9914602114165,-44.013091736171255,5.76601515710454,0.986317019009845
-476,124.18175871100553,446.48567753709335,31.84587515115397,0.9558232514343967,336.9903387930161,-44.03818054582554,5.781446119919011,0.987510749996791
-475,128.80053534631276,451.1946838651648,32.05121167282622,0.9567815914023987,336.98911987014657,-44.063293614840475,5.796392867748543,0.9883835855571387
-474,132.0092698255299,454.47369124688896,32.22508443226995,0.9575259016147677,336.9878222903968,-44.08845314296941,5.805402224407634,0.9890767196785911
-473,134.04158441611185,456.5296996822151,32.31170705442256,0.9581382985073316,336.98647050164817,-44.113639563951416,5.8138141108184715,0.9894104509222534
-472,134.4735540397649,456.94570917109206,32.321424330552404,0.958830342561446,336.9850841855733,-44.138851854300896,5.823171420665454,0.9894489583734453
-471,134.98151613651677,457.43771971346894,32.33117236388967,0.9594067100834265,336.9836912240503,-44.1641114737335,5.830687818967744,0.9894874658246371
-470,134.65521626359754,457.0867313092949,32.323781330237296,0.960195024062972,336.98228974931845,-44.1893932081235,5.844338174908718,0.9894617941905092
-469,134.60865583977957,457.020743958519,32.32672507155856,0.960717137206611,336.98089427734567,-44.2147204713052,5.851594446432305,0.9894746300075732
-468,135.011071761139,457.4037576610903,32.32979568457597,0.9613059258579923,336.9794995730008,-44.24006739915484,5.859319380603467,0.9894874658246371
-467,135.10426384999178,457.47577241695785,32.32928408790875,0.9618885975439376,336.97809857252986,-44.26546199488247,5.86890060210681,0.9894874658246371
-466,135.2436493812393,457.5957882260709,32.33244436306899,0.9623915143171343,336.97669604454745,-44.29087705403529,5.87533377349721,0.989500301641701
-465,136.51713868765526,458.8728050883783,32.38089349444658,0.9628084051704474,336.9752915222568,-44.316312849883836,5.879876280122019,0.9896800030805961
-464,137.21437565730534,459.5578230038293,32.39834218836479,0.9632647489686815,336.97386569311254,-44.34180103676843,5.886706363196943,0.9897441821659158
-463,137.15830228022995,459.4788419723729,32.394499071107134,0.9636537545853493,336.97242814148615,-44.367314085490975,5.891213841071593,0.9897313463488518
