borneoArea,borneoStream,borneoX,borneoY,mekongArea,mekongStream,mekongX,mekongY,johoreArea,johoreStream,johoreX,johoreY,siamArea,siamStream,siamX,siamY,singapArea,singapStream,singapX,singapY,sundaArea,sundaStream,sundaX,sundaY
2115452925501.667,3769882.1976326997,312151.766467078,653338.9448531091,2115452925501.667,3769882.1976326997,312151.766467078,653338.9448531091,2115452925501.667,3769882.1976326997,312151.766467078,653338.9448531091,2115452925501.667,3769882.1976326997,312151.766467078,653338.9448531091,264738956604.80664,1227807.5530238329,-999795.1257935625,643914.1004693812,784150582190.4888,1729916.1158969537,1109090.8347920552,-666456.9122912083
2115822646349.719,3765094.016545029,309676.3244765722,649240.3029951302,2115822646349.719,3765094.016545029,309676.3244765722,649240.3029951302,2115822646349.719,3765094.016545029,309676.3244765722,649240.3029951302,2115822646349.719,3765094.016545029,309676.3244765722,649240.3029951302,264583795407.70172,1227807.5530238329,-999795.1257935625,643914.1004693812,784667585129.4315,1729916.1158969537,1109090.8347920552,-666456.9122912083
2115272246414.4514,3765094.016545029,309676.3244765722,649240.3029951302,2115272246414.4514,3765094.016545029,309676.3244765722,649240.3029951302,2115272246414.4514,3765094.016545029,309676.3244765722,649240.3029951302,2115272246414.4514,3765094.016545029,309676.3244765722,649240.3029951302,264862449769.29126,1227807.5530238329,-999795.1257935625,643914.1004693812,784793405181.222,1729916.1158969537,1109090.8347920552,-666456.9122912083
2114906549423.1467,3756246.1043548086,306861.096273344,640852.2138033299,2114906549423.1467,3756246.1043548086,306861.096273344,640852.2138033299,2114906549423.1467,3756246.1043548086,306861.096273344,640852.2138033299,2114906549423.1467,3756246.1043548086,306861.096273344,640852.2138033299,264865516928.7503,1227807.5530238329,-999795.1257935625,643914.1004693812,784396597402.7542,1724726.6964210323,1106622.2504924166,-661892.2473470257
2115790229639.2744,3770001.8688634704,309676.3244765722,649240.3029951302,2115790229639.2744,3770001.8688634704,309676.3244765722,649240.3029951302,2115790229639.2744,3770001.8688634704,309676.3244765722,649240.3029951302,2115790229639.2744,3770001.8688634704,309676.3244765722,649240.3029951302,264708366761.28262,1227807.5530238329,-999795.1257935625,643914.1004693812,784667308241.149,1729916.1158969537,1109090.8347920552,-666456.9122912083
2115253699114.891,3713719.309707113,309676.3244765722,649240.3029951302,2115253699114.891,3713719.309707113,309676.3244765722,649240.3029951302,2115253699114.891,3713719.309707113,309676.3244765722,649240.3029951302,2115253699114.891,3713719.309707113,309676.3244765722,649240.3029951302,265057379555.80826,1227807.5530238329,-999795.1257935625,643914.1004693812,784061327809.9366,1729916.1158969537,1109090.8347920552,-666456.9122912083
2115367589752.5457,3705873.7429738953,306861.096273344,640852.2138033299,2115367589752.5457,3705873.7429738953,306861.096273344,640852.2138033299,2115367589752.5457,3705873.7429738953,306861.096273344,640852.2138033299,2115367589752.5457,3705873.7429738953,306861.096273344,640852.2138033299,265003875590.21536,1227807.5530238329,-999795.1257935625,643914.1004693812,784628437269.5767,1724726.6964210323,1106622.2504924166,-661892.2473470257
2115369681587.6934,3702304.219117259,306861.096273344,640852.2138033299,2115369681587.6934,3702304.219117259,306861.096273344,640852.2138033299,2115369681587.6934,3702304.219117259,306861.096273344,640852.2138033299,2115369681587.6934,3702304.219117259,306861.096273344,640852.2138033299,265079177701.06265,1222797.8953725363,-994912.2671293033,642794.1178587732,784883251353.8678,1719109.6487924536,1101006.228773403,-661999.5977698748
2114472286457.6257,3684270.5952019035,304591.8025441215,620199.1835018365,2114472286457.6257,3684270.5952019035,304591.8025441215,620199.1835018365,2114472286457.6257,3684270.5952019035,304591.8025441215,620199.1835018365,2114472286457.6257,3684270.5952019035,304591.8025441215,620199.1835018365,260283199729.5913,1213798.3827156592,-987984.6385753807,646505.4356940049,783552002851.9006,1702426.6923810947,1087691.4171598293,-669765.9329720016
2114161132056.386,3669599.133358126,302963.2985902031,608550.1666825355,2114161132056.386,3669599.133358126,302963.2985902031,608550.1666825355,2114161132056.386,3669599.133358126,302963.2985902031,608550.1666825355,2114161132056.386,3669599.133358126,302963.2985902031,608550.1666825355,260141520338.10455,1207322.5833553954,-981510.1381314045,646375.738526168,783219406222.3524,1702426.6923810947,1087691.4171598293,-669765.9329720016
